Column,Row,Metric,Seasonal Metric,Annual Metric,Values
9,18,AnnualMean,,None,14.461754
10,18,AnnualMean,,None,14.494041
11,18,AnnualMean,,None,15.018936
12,18,AnnualMean,,None,14.435931
13,18,AnnualMean,,None,14.593499
9,19,AnnualMean,,None,14.525429
10,19,AnnualMean,,None,14.675008
11,19,AnnualMean,,None,14.156662
12,19,AnnualMean,,None,14.684957
9,20,AnnualMean,,None,14.751108
10,20,AnnualMean,,None,14.506031
11,20,AnnualMean,,None,14.694191
12,20,AnnualMean,,None,14.30122
9,21,AnnualMean,,None,14.583423
10,21,AnnualMean,,None,14.443634
11,21,AnnualMean,,None,14.656876
12,21,AnnualMean,,None,14.654471
9,22,AnnualMean,,None,14.807953
10,22,AnnualMean,,None,14.830692
11,22,AnnualMean,,None,14.354629
12,22,AnnualMean,,None,15.162055
13,22,AnnualMean,,None,14.493528
9,23,AnnualMean,,None,15.189519
10,23,AnnualMean,,None,14.516399
11,23,AnnualMean,,None,14.637389
12,23,AnnualMean,,None,14.437428
13,23,AnnualMean,,None,14.78811
14,23,AnnualMean,,None,14.737041
9,24,AnnualMean,,None,14.677069
10,24,AnnualMean,,None,14.437028
11,24,AnnualMean,,None,14.394165
12,24,AnnualMean,,None,14.3479
13,24,AnnualMean,,None,14.381005
14,24,AnnualMean,,None,14.704704
9,25,AnnualMean,,None,14.814924
10,25,AnnualMean,,None,14.683365
11,25,AnnualMean,,None,14.615334
12,25,AnnualMean,,None,14.928507
13,25,AnnualMean,,None,14.278245
9,26,AnnualMean,,None,14.875034
10,26,AnnualMean,,None,14.578381
11,26,AnnualMean,,None,14.624067
12,26,AnnualMean,,None,14.919369
13,26,AnnualMean,,None,14.816554
10,27,AnnualMean,,None,15.035378
11,27,AnnualMean,,None,14.659153
12,27,AnnualMean,,None,14.942816
13,27,AnnualMean,,None,14.787259
14,27,AnnualMean,,None,14.69189
10,28,AnnualMean,,None,15.177549
11,28,AnnualMean,,None,15.137069
12,28,AnnualMean,,None,14.771513
13,28,AnnualMean,,None,14.8227
14,28,AnnualMean,,None,14.629094
15,28,AnnualMean,,None,14.313557
10,29,AnnualMean,,None,14.7623
11,29,AnnualMean,,None,14.675081
12,29,AnnualMean,,None,14.549352
13,29,AnnualMean,,None,14.816626
14,29,AnnualMean,,None,14.814391
15,29,AnnualMean,,None,14.442827
16,29,AnnualMean,,None,14.470425
10,30,AnnualMean,,None,15.119547
11,30,AnnualMean,,None,15.06313
12,30,AnnualMean,,None,14.563185
13,30,AnnualMean,,None,14.741675
14,30,AnnualMean,,None,14.768788
15,30,AnnualMean,,None,15.055012
16,30,AnnualMean,,None,14.480669
11,31,AnnualMean,,None,15.282165
12,31,AnnualMean,,None,14.809542
13,31,AnnualMean,,None,14.832608
14,31,AnnualMean,,None,13.890915
15,31,AnnualMean,,None,14.314403
16,31,AnnualMean,,None,14.708652
17,31,AnnualMean,,None,14.698648
10,32,AnnualMean,,None,15.764779
11,32,AnnualMean,,None,19.174872
12,32,AnnualMean,,None,21.946352
13,32,AnnualMean,,None,14.96905
14,32,AnnualMean,,None,11.670833
15,32,AnnualMean,,None,14.752682
16,32,AnnualMean,,None,15.222192
17,32,AnnualMean,,None,14.640176
9,33,AnnualMean,,None,15.903243
10,33,AnnualMean,,None,14.580532
11,33,AnnualMean,,None,21.114843
12,33,AnnualMean,,None,16.444023
13,33,AnnualMean,,None,15.333234
14,33,AnnualMean,,None,15.033903
15,33,AnnualMean,,None,13.401107
16,33,AnnualMean,,None,14.923112
17,33,AnnualMean,,None,14.969126
18,33,AnnualMean,,None,14.54009
9,34,AnnualMean,,None,15.140815
10,34,AnnualMean,,None,14.016855
11,34,AnnualMean,,None,14.284132
12,34,AnnualMean,,None,15.933223
13,34,AnnualMean,,None,16.807461
14,34,AnnualMean,,None,14.093414
15,34,AnnualMean,,None,14.651209
16,34,AnnualMean,,None,14.877076
17,34,AnnualMean,,None,14.468387
18,34,AnnualMean,,None,14.684069
10,35,AnnualMean,,None,15.237925
11,35,AnnualMean,,None,14.754074
12,35,AnnualMean,,None,20.057226
13,35,AnnualMean,,None,14.002111
14,35,AnnualMean,,None,13.211545
15,35,AnnualMean,,None,14.732227
16,35,AnnualMean,,None,14.825377
17,35,AnnualMean,,None,15.344357
11,36,AnnualMean,,None,15.35702
12,36,AnnualMean,,None,16.080378
13,36,AnnualMean,,None,14.657943
14,36,AnnualMean,,None,14.242217
15,36,AnnualMean,,None,15.160508
16,36,AnnualMean,,None,15.342016
17,36,AnnualMean,,None,15.097577
11,37,AnnualMean,,None,14.259759
12,37,AnnualMean,,None,15.307591
13,37,AnnualMean,,None,15.165018
14,37,AnnualMean,,None,14.025217
15,37,AnnualMean,,None,14.307481
16,37,AnnualMean,,None,10.931647
17,37,AnnualMean,,None,15.012504
12,38,AnnualMean,,None,14.853942
13,38,AnnualMean,,None,14.956402
14,38,AnnualMean,,None,14.650819
15,38,AnnualMean,,None,10.534567
16,38,AnnualMean,,None,14.710739
17,38,AnnualMean,,None,15.323704
13,39,AnnualMean,,None,15.233346
14,39,AnnualMean,,None,14.850792
15,39,AnnualMean,,None,16.073815
16,39,AnnualMean,,None,13.796594
17,39,AnnualMean,,None,15.852154
13,40,AnnualMean,,None,15.175333
14,40,AnnualMean,,None,15.251705
15,40,AnnualMean,,None,15.212875
16,40,AnnualMean,,None,15.36808
17,40,AnnualMean,,None,15.495246
14,41,AnnualMean,,None,15.416669
15,41,AnnualMean,,None,15.302878
16,41,AnnualMean,,None,15.069277
17,41,AnnualMean,,None,15.81509
